Cidade;CodigoDaCidade;date;Regiao;Pais;TemperaturaMaxima;TemperaturaMinima;VaiChover;ChanceDeChuva;CondicaoDoTempo;NascerDoSol;PorDoSol;VelocidadeMaximaDoVento
Aparecida;3502507;11/01;Vale do Paraiba;Brasil;26;22;Sim;79;rain;05:25 am;06:51 pm;2.29 km/h
Aparecida;3502507;12/01;Vale do Paraiba;Brasil;29;23;Sim;72;rain;05:25 am;06:51 pm;2.3 km/h
Aparecida;3502507;13/01;Vale do Paraiba;Brasil;29;23;Sim;82;rain;05:25 am;06:51 pm;2 km/h
Aparecida;3502507;14/01;Vale do Paraiba;Brasil;30;24;Sim;85;rain;05:25 am;06:51 pm;2.42 km/h
Aparecida;3502507;15/01;Vale do Paraiba;Brasil;30;25;Sim;87;rain;05:25 am;06:51 pm;2.34 km/h
Arapeí;3503158;11/01;Vale do Paraiba;Brasil;26;18;Sim;100;rain;05:22 am;06:47 pm;1.97 km/h
Arapeí;3503158;12/01;Vale do Paraiba;Brasil;26;19;Sim;100;rain;05:22 am;06:47 pm;2.03 km/h
Arapeí;3503158;13/01;Vale do Paraiba;Brasil;28;18;Sim;100;rain;05:22 am;06:47 pm;1.19 km/h
Arapeí;3503158;14/01;Vale do Paraiba;Brasil;31;20;Sim;100;rain;05:22 am;06:47 pm;1.56 km/h
Arapeí;3503158;15/01;Vale do Paraiba;Brasil;27;20;Sim;100;rain;05:22 am;06:47 pm;1.19 km/h
Areias;3503505;11/01;Vale do Paraiba;Brasil;25;18;Sim;100;rain;05:23 am;06:47 pm;2.1 km/h
Areias;3503505;12/01;Vale do Paraiba;Brasil;26;18;Sim;100;rain;05:23 am;06:47 pm;2.23 km/h
Areias;3503505;13/01;Vale do Paraiba;Brasil;28;18;Sim;100;rain;05:23 am;06:47 pm;1.27 km/h
Areias;3503505;14/01;Vale do Paraiba;Brasil;31;19;Sim;100;rain;05:23 am;06:47 pm;1.58 km/h
Areias;3503505;15/01;Vale do Paraiba;Brasil;27;20;Sim;99;rain;05:23 am;06:47 pm;1.24 km/h
Bananal;3504909;11/01;Vale do Paraiba;Brasil;29;19;Sim;100;rain;05:22 am;06:47 pm;1.29 km/h
